,ID,URL,City,State,Date,Borrelia general species,Borrelia burgdorferi sensu lato,Borrelia miyamotoi,Borrelia mayonii,Babesia microti,Ehrlichia muris-Like Agent,Anaplasma phagocytophilum,Borrelia lonestari,Rickettsia rickettsii,Rickettsia philipii,Rickettsia parkeri,Francisella tularensis,Ehrlichia chaffeensis,Ehrlichia ewingii,Ehrlichia canis,Bartonella henselae,Babesia duncani,Babesia divergens,Powassan virus general species,"Powassan virus (type 2, DTV)",Heartland virus,Colorado Tick Fever virus,Bourbon virus
0,55543,https://www.tickreport.com/report/55543,Roanoke,AL,2018-09-13,False,N/A,N/A,N/A,N/A,N/A,False,False,False,False,False,False,False,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,55483,https://www.tickreport.com/report/55483,Vestavia,AL,2018-09-10,False,N/A,N/A,N/A,N/A,N/A,False,False,False,False,False,False,False,False,N/A,N/A,N/A,N/A,False,False,False,False,False
2,55366,https://www.tickreport.com/report/55366,Huntsville,AL,2018-09-04,False,N/A,N/A,N/A,N/A,N/A,False,False,False,False,False,False,False,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,55240,https://www.tickreport.com/report/55240,Jemison,AL,2018-08-29,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,55241,https://www.tickreport.com/report/55241,Jemison,AL,2018-08-29,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,55006,https://www.tickreport.com/report/55006,Stevenson,AL,2018-08-17,False,N/A,N/A,N/A,N/A,N/A,False,False,False,False,False,False,False,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,54877,https://www.tickreport.com/report/54877,Birmingham,AL,2018-08-13,False,N/A,N/A,N/A,N/A,N/A,False,False,False,False,False,False,False,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,53580,https://www.tickreport.com/report/53580,Columbiana,AL,2018-07-10,False,N/A,N/A,N/A,N/A,N/A,False,False,False,False,False,False,False,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,53402,https://www.tickreport.com/report/53402,Prattville,AL,2018-07-07,False,N/A,N/A,N/A,N/A,N/A,False,False,False,False,False,False,False,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,52333,https://www.tickreport.com/report/52333,Irondale,AL,2018-06-21,False,N/A,N/A,N/A,N/A,N/A,False,False,False,False,False,False,False,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,51227,https://www.tickreport.com/report/51227,Huntsville,AL,2018-06-12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,50299,https://www.tickreport.com/report/50299,Columbiana,AL,2018-06-04,False,N/A,N/A,N/A,N/A,N/A,False,False,False,False,False,False,False,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12,50145,https://www.tickreport.com/report/50145,Phenix City,AL,2018-06-04,False,N/A,N/A,N/A,N/A,N/A,False,False,False,False,False,False,False,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
